# F(alpha) for nmodes = 32, bprime = 20 
0.0	1.0
0.05	0.9505351939023368
0.1	0.9021013476188277
0.15	0.8546430949205586
0.2	0.8081096507590761
0.25	0.7624543099727935
0.3	0.7176340133282166
0.35	0.6736089702758477
0.4	0.6303423297101707
0.45	0.5877998915494145
0.5	0.5459498531783469
0.55	0.504762585790463
0.6	0.46421043647384896
0.65	0.4242675525457552
0.7	0.38490972518402156
0.75	0.34611424985202977
0.8	0.30785980138602176
0.85	0.2701263219236826
0.9	0.23289492011237545
0.95	0.19614778025335544
1.0	0.15986808022208787
1.05	0.12403991716033735
1.1	0.08864824006778182
1.15	0.053678788533474076
1.2	0.019118036943665873
1.25	-0.01504685641496728
1.3	-0.04882809586672843
1.35	-0.0822372909217639
1.4	-0.11528549531029908
1.45	-0.14798324282627529
1.5	-0.18034058029052114
1.55	-0.21236709790883812
1.6	-0.2440719572699901
1.65	-0.2754639172020339
1.7	-0.30655135768206065
1.75	-0.33734230197391324
1.8	-0.36784443715038484
1.85	-0.3980651331404026
1.9	-0.4280114604276062
1.95	-0.4576902065141959
2.0	-0.48710789125280396
2.05	-0.5162707811392848
2.1	-0.5451849026504425
2.15	-0.5738560547029214
2.2	-0.6022898203024003
2.25	-0.6304915774459374
2.3	-0.6584665093346946
2.35	-0.6862196139491554
2.4	-0.7137557130344141
2.45	-0.7410794605389899
2.5	-0.7681953505469072
2.55	-0.7951077247394516
2.6	-0.8218207794199477
2.65	-0.8483385721322041
2.7	-0.8746650279007273
2.75	-0.9008039451186123
2.8	-0.9267590011069098
2.85	-0.9525337573674215
2.9	-0.978131664549178
2.95	-1.0035560671473047
3.0	-1.0288102079515413
